  0.002500   2.9354e-04   1.7466e-02   2.4996e+02
  0.007500   3.1800e-04   1.7441e-02   2.4972e+02
  0.012500   3.1800e-04   1.7441e-02   2.4923e+02
  0.017500   2.9354e-04   1.7466e-02   2.4850e+02
  0.022500   3.1800e-04   1.7466e-02   2.4752e+02
  0.027500   3.4247e-04   1.7466e-02   2.4630e+02
  0.032500   3.9139e-04   1.7466e-02   2.4484e+02
  0.037500   3.9139e-04   1.7466e-02   2.4313e+02
  0.042500   4.4031e-04   1.7466e-02   2.4118e+02
  0.047500   4.4031e-04   1.7466e-02   2.3900e+02
  0.052500   4.8924e-04   1.7466e-02   2.3658e+02
  0.057500   5.1370e-04   1.7490e-02   2.3392e+02
  0.062500   5.3816e-04   1.7490e-02   2.3104e+02
  0.067500   5.6262e-04   1.7490e-02   2.2792e+02
  0.072500   5.8708e-04   1.7515e-02   2.2458e+02
  0.077500   6.3601e-04   1.7515e-02   2.2102e+02
  0.082500   6.6047e-04   1.7515e-02   2.1725e+02
  0.087500   7.0939e-04   1.7539e-02   2.1325e+02
  0.092500   7.3386e-04   1.7539e-02   2.0905e+02
  0.097500   7.5832e-04   1.7564e-02   2.0464e+02
  0.102500   8.3170e-04   1.7564e-02   2.0003e+02
  0.107500   8.8063e-04   1.7564e-02   1.9522e+02
  0.112500   9.2955e-04   1.7588e-02   1.9022e+02
  0.117500   9.7847e-04   1.7613e-02   1.8503e+02
  0.122500   1.0274e-03   1.7613e-02   1.7966e+02
  0.127500   1.0763e-03   1.7637e-02   1.7411e+02
  0.132500   1.1252e-03   1.7661e-02   1.6839e+02
  0.137500   1.1742e-03   1.7661e-02   1.6250e+02
  0.142500   1.2231e-03   1.7686e-02   1.5646e+02
  0.147500   1.2720e-03   1.7686e-02   1.5026e+02
  0.152500   1.3209e-03   1.7710e-02   1.4391e+02
  0.157500   1.3699e-03   1.7735e-02   1.3741e+02
  0.162500   1.4432e-03   1.7759e-02   1.3079e+02
  0.167500   1.4922e-03   1.7759e-02   1.2403e+02
  0.172500   1.5656e-03   1.7784e-02   1.1715e+02
  0.177500   1.6145e-03   1.7808e-02   1.1016e+02
  0.182500   1.6634e-03   1.7808e-02   1.0305e+02
  0.187500   1.7368e-03   1.7833e-02   9.5848e+01
  0.192500   1.7857e-03   1.7857e-02   8.8549e+01
  0.197500   1.8591e-03   1.7882e-02   8.1162e+01
  0.202500   1.9080e-03   1.7906e-02   7.3695e+01
  0.207500   1.9569e-03   1.7931e-02   6.6155e+01
  0.212500   2.0303e-03   1.7955e-02   5.8550e+01
  0.217500   2.0793e-03   1.7979e-02   5.0887e+01
  0.222500   2.1526e-03   1.8004e-02   4.3174e+01
  0.227500   2.2016e-03   1.8028e-02   3.5418e+01
  0.232500   2.2750e-03   1.8053e-02   2.7628e+01
  0.237500   2.3483e-03   1.8077e-02   1.9810e+01
  0.242500   2.3973e-03   1.8102e-02   1.1972e+01
  0.247500   2.4706e-03   1.8126e-02   4.1230e+00
  0.252500   2.5196e-03   1.8151e-02   -3.7303e+00
  0.257500   2.5930e-03   1.8175e-02   -1.1580e+01
  0.262500   2.6419e-03   1.8200e-02   -1.9418e+01
  0.267500   2.7153e-03   1.8224e-02   -2.7237e+01
  0.272500   2.7886e-03   1.8249e-02   -3.5029e+01
