12.0600000000000	1E-33
12.3231475780877	1.09021124295375E-22
14.1645489355494	4.21868993954317E-22
17.1268295654594	1.53307739720056E-21
19.3157089550162	2.60120611061411E-21
23.8784907110679	4.68737005533174E-21
33.5031707432615	8.29329112637164E-21
50.8779037771413	1.3423854550133E-20
84.4229417225330	1.85706186214386E-20
123.426648014686	1.91631372377761E-20
189.823735470399	1.72583450419423E-20
327.172379275844	1.39979430666667E-20
596.959705138740	1.00393369302833E-20
912.299542438730	7.64697424935004E-21
